Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,Balls,Mdn,Runs,Wkt,Best,Avg,Ca,St
1,Charles Bannerman,1877089,3,6,2,239,165*,59.75,0,0,0,0,0,0,0,0
2,Jack Blackham,1877094,35,62,11,800,74,15.69,0,0,0,0,0,0,37,24
3,Bransby Cooper,1877,1,2,0,18,15,9,0,0,0,0,0,0,2,0
4,Tom Garrett,1877088,19,33,6,339,51*,12.56,2728,296,970,36,Jun-78,26.94,7,0
5,Dave Gregory,1877079,3,5,2,60,43,20,20,1,9,0,0,0,0,0
6,Ned Gregory,1877,1,2,0,11,11,5.5,0,0,0,0,0,0,1,0
7,John Hodges,1877,2,4,1,10,8,3.33,136,9,84,6,02-Jul,14,0,0
8,Tom Horan,1877085,15,27,2,471,124,18.84,373,45,143,11,Jun-40,13,6,0
9,Tom Kendall,1877,2,4,1,39,17*,13,563,56,215,14,Jul-55,15.36,2,0
10,Billy Midwinter,1877087,8,14,1,174,37,13.38,949,104,333,14,May-78,23.79,10,0
11,Nat Thomson,1877,2,4,0,67,41,16.75,112,16,31,1,Jan-14,31,3,0
12,Thomas Kelly,1877079,2,3,0,64,35,21.33,0,0,0,0,0,0,1,0
13,Billy Murdoch,1877090,18,33,5,896,211,32,0,0,0,0,0,0,14,0
14,Fred Spofforth,1877087,18,29,6,217,50,9.43,4185,416,1731,94,Jul-44,18.41,11,0
15,Frank Allan,1879,1,1,0,5,5,5,180,15,80,4,Feb-30,20,0,0
16,Alick Bannerman,1879093,28,50,2,1108,94,23.08,292,17,163,4,3/111,40.75,21,0
17,Harry Boyle,1879084,12,16,4,153,36*,12.75,1743,175,641,32,Jun-42,20.03,10,0
18,George Alexander,1880084,2,4,0,52,33,13,168,13,93,2,Feb-69,46.5,2,0
19,George Bonnor,1880088,17,30,0,512,128,17.07,164,16,84,2,01-May,42,16,0
20,Thomas Groube,1880,1,2,0,11,11,5.5,0,0,0,0,0,0,0,0
21,Percy McDonnell,1880088,19,34,1,955,147,28.94,52,1,53,0,0,0,6,0
22,William Moule,1880,1,2,0,40,34,20,51,4,23,3,Mar-23,7.67,1,0
23,Joey Palmer,1880086,17,25,4,296,48,14.1,4517,452,1678,78,Jul-65,21.51,13,0
24,Jim Slight,1880,1,2,0,11,11,5.5,0,0,0,0,0,0,0,0
25,William Cooper,1882084,2,3,1,13,7,6.5,446,31,226,9,6/120,25.11,1,0
26,Edwin Evans,1882086,6,10,2,82,33,10.25,1237,166,332,7,Mar-64,47.43,5,0
27,George Giffen,1882096,31,53,0,1238,161,23.36,6391,434,2791,103,7/117,27.1,24,0
28,Hugh Massie,1882085,9,16,0,249,55,15.56,0,0,0,0,0,0,5,0
29,George Coulthard,1882,1,1,1,6,6*,0,0,0,0,0,0,0,0,0
30,Sammy Jones,1882088,12,24,4,428,87,21.4,262,26,112,6,Apr-47,18.67,12,0
31,Tup Scott,1884086,8,14,1,359,102,27.62,28,1,26,0,0,0,8,0
32,William Bruce,1885095,14,26,2,702,80,29.25,988,72,440,12,Mar-88,36.67,12,0
33,Affie Jarvis,1885095,11,21,3,303,82,16.83,0,0,0,0,0,0,9,9
34,Alfred Marr,1885,1,2,0,5,5,2.5,48,6,14,0,0,0,0,0
35,Samuel Morris,1885,1,2,1,14,10*,14,136,14,73,2,Feb-73,36.5,0,0
36,Henry Musgrove,1885,1,2,0,13,9,6.5,0,0,0,0,0,0,0,0
37,Roland Pope,1885,1,2,0,3,3,1.5,0,0,0,0,0,0,0,0
38,Digger Robertson,1885,1,2,0,2,2,1,44,3,24,0,0,0,0,0
39,John Trumble,1885086,7,13,1,243,59,20.25,600,59,222,10,Mar-29,22.2,3,0
40,Jack Worrall,1885099,11,22,3,478,76,25.16,255,29,127,1,Jan-97,127,13,0
41,Patrick McShane,1885088,3,6,1,26,12*,5.2,108,9,48,1,Jan-39,48,2,0
42,Francis Walters,1885,1,2,0,12,7,6,0,0,0,0,0,0,2,0
43,John McIlwraith,1886,1,2,0,9,7,4.5,0,0,0,0,0,0,1,0
44,J. J. Ferris,1887090,8,16,4,98,20*,8.17,2030,224,684,48,May-26,14.25,4,0
45,Harry Moses,1887095,6,10,0,198,33,19.8,0,0,0,0,0,0,1,0
46,Charles Turner,1887095,17,32,4,323,29,11.54,5179,457,1670,101,Jul-43,16.53,8,0
47,Reginald Allen,1887,1,2,0,44,30,22,0,0,0,0,0,0,2,0
48,Frederick Burton,1887088,2,4,2,4,2*,2,0,0,0,0,0,0,1,1
49,John Cottam,1887,1,2,0,4,3,2,0,0,0,0,0,0,1,0
50,Walter Giffen,1887092,3,6,0,11,3,1.83,0,0,0,0,0,0,1,0
51,Jack Lyons,1887097,14,27,0,731,134,27.07,316,17,149,6,May-30,24.83,3,0
52,Jack Edwards,1888,3,6,1,48,26,9.6,0,0,0,0,0,0,1,0
53,Harry Trott,1888098,24,42,0,921,143,21.93,1891,47,1019,29,Apr-71,35.14,21,0
54,Sammy Woods,1888,3,6,0,32,18,5.33,217,18,121,5,Feb-35,24.2,1,0
55,Jack Barrett,1890,2,4,1,80,67*,26.67,0,0,0,0,0,0,1,0
56,Kenneth Burn,1890,2,4,0,41,19,10.25,0,0,0,0,0,0,0,0
57,Percie Charlton,1890,2,4,0,29,11,7.25,45,1,24,3,Mar-18,8,0,0
58,Syd Gregory,189001912,58,100,7,2282,201,24.54,30,0,33,0,0,0,25,0
59,Hugh Trumble,189001904,32,57,14,851,70,19.79,8099,452,3072,141,Aug-65,21.79,45,0
60,Sydney Callaway,1892095,3,6,1,87,41,17.4,471,33,142,6,May-37,23.67,0,0
61,Harry Donnan,1892096,5,10,1,75,15,8.33,54,2,22,0,0,0,1,0
62,Bob McLeod,1892093,6,11,0,146,31,13.27,1089,67,382,12,May-53,31.83,3,0
63,Harry Graham,1893096,6,10,0,301,107,30.1,0,0,0,0,0,0,3,0
64,Joe Darling,189401905,34,60,2,1657,178,28.57,0,0,0,0,0,0,27,0
65,Frank Iredale,1894099,14,23,1,807,140,36.68,12,1,3,0,0,0,16,0
66,Ernie Jones,189401902,19,26,1,126,20,5.04,3754,161,1857,64,Jul-88,29.02,21,0
67,Charlie McLeod,189401905,17,29,5,573,112,23.88,3374,171,1325,33,May-65,40.15,9,0
68,Jack Reedman,1894,1,2,0,21,17,10.5,57,2,24,1,01-Dec,24,1,0
69,Arthur Coningham,1895,1,2,0,13,10,6.5,186,9,76,2,Feb-17,38,0,0
70,John Harry,1895,1,2,0,8,6,4,0,0,0,0,0,0,1,0
71,Albert Trott,1895,3,5,3,205,85*,102.5,474,17,192,9,Aug-43,21.33,4,0
72,Tom McKibbin,1895098,5,8,2,88,28*,14.67,1032,41,496,17,Mar-35,29.18,4,0
73,Charles Eady,189601902,2,4,1,20,10*,6.67,223,14,112,7,Mar-30,16,2,0
74,Clem Hill,189601912,49,89,2,3412,191,39.22,0,0,0,0,0,0,33,0
75,Jim Kelly,189601905,36,56,17,664,46*,17.03,0,0,0,0,0,0,43,20
76,Monty Noble,189801909,42,73,7,1997,133,30.26,7159,361,3025,121,Jul-17,25,26,0
77,Bill Howell,189801904,18,27,6,158,35,7.52,3892,245,1407,49,May-81,28.71,12,0
78,Frank Laver,189901909,15,23,6,196,45,11.53,2361,121,964,37,Aug-31,26.05,8,0
79,Victor Trumper,189901912,48,89,8,3163,214*,39.05,546,20,317,8,Mar-60,39.63,31,0
80,Warwick Armstrong,1902021,50,84,10,2863,159*,38.69,8022,407,2923,87,Jun-35,33.6,44,0
81,Reggie Duff,1902005,22,40,3,1317,146,35.59,180,8,85,4,Feb-43,21.25,14,0
82,Bert Hopkins,1902009,20,33,2,509,43,16.42,1327,49,696,26,Apr-81,26.77,11,0
83,Jack Saunders,1902008,14,23,6,39,11*,2.29,3565,116,1796,79,Jul-34,22.73,5,0
84,Joe Travers,1902,1,2,0,10,9,5,48,2,14,1,Jan-14,14,1,0
85,Tibby Cotter,1904012,21,37,2,457,45,13.06,4633,86,2549,89,7/148,28.64,8,0
86,Peter McAlister,1904009,8,16,1,252,41,16.8,0,0,0,0,0,0,10,0
87,Algy Gehrs,1904011,6,11,0,221,67,20.09,6,0,4,0,0,0,6,0
88,Sammy Carter,1907021,28,47,9,873,72,22.97,0,0,0,0,0,0,44,21
89,Gerry Hazlitt,1907012,9,12,4,89,34*,11.13,1563,74,623,23,Jul-25,27.09,4,0
90,Charlie Macartney,1907026,35,55,4,2131,170,41.78,3561,177,1240,45,Jul-58,27.56,17,0
91,Vernon Ransford,1907012,20,38,6,1211,143*,37.84,43,3,28,1,01-Sep,28,10,0
92,Roger Hartigan,1908,2,4,0,170,116,42.5,12,0,7,0,0,0,1,0
93,Jack O'Connor,1908009,4,8,1,86,20,12.29,692,24,340,13,May-40,26.15,3,0
94,Warren Bardsley,1909026,41,66,5,2469,193*,40.48,0,0,0,0,0,0,12,0
95,Bill Whitty,1909012,14,19,7,161,39*,13.42,3357,163,1373,65,Jun-17,21.12,4,0
96,Charlie Kelleway,1910028,26,42,4,1422,147,37.42,4363,146,1683,52,May-33,32.37,24,0
97,H. V. Hordern,1911012,7,13,2,254,50,23.09,2148,49,1075,46,Jul-90,23.37,6,0
98,Roy Minnett,1911012,9,15,0,391,90,26.07,589,26,290,11,Apr-34,26.36,0,0
99,Jimmy Matthews,1912,8,10,1,153,53,17,1081,46,419,16,Apr-29,26.19,7,0
100,John McLaren,1912,1,2,2,0,0*,0,144,3,70,1,Jan-23,70,0,0
101,Barlow Carkeek,1912,6,5,2,16,6*,5.33,0,0,0,0,0,0,6,0
102,Sid Emery,1912,4,2,0,6,5,3,462,13,249,5,Feb-46,49.8,2,0
103,Claude Jennings,1912,6,8,2,107,32,17.83,0,0,0,0,0,0,5,0
104,David Smith,1912,2,3,1,30,24*,15,0,0,0,0,0,0,0,0
105,Edgar Mayne,1912021,4,4,1,64,25*,21.33,6,0,1,0,0,0,2,0
106,Herbie Collins,1920026,19,31,1,1352,203,45.07,654,31,252,4,Feb-47,63,13,0
107,Jack Gregory,1920028,24,34,3,1146,119,36.97,5582,138,2648,85,Jul-69,31.15,37,0
108,Arthur Mailey,1920026,21,29,9,222,46*,11.1,6119,115,3358,99,9/121,33.92,14,0
109,Bert Oldfield,1920037,54,80,17,1427,65*,22.65,0,0,0,0,0,0,78,52
110,Nip Pellew,1920021,10,14,1,484,116,37.23,78,3,34,0,0,0,4,0
111,Jack Ryder,1920029,20,32,5,1394,201*,51.63,1897,71,743,17,Feb-20,43.71,17,0
112,Johnny Taylor,1920026,20,28,0,997,108,35.61,114,5,45,1,Jan-25,45,11,0
113,Roy Park,1921,1,1,0,0,,0,6,0,9,0,0,0,0,0
114,Ted McDonald,1921,11,12,5,116,36,16.57,2885,90,1431,43,May-32,33.28,3,0
115,Tommy Andrews,1921026,16,23,1,592,94,26.91,156,5,116,1,Jan-23,116,12,0
116,Hunter Hendry,1921029,11,18,2,335,112,20.94,1706,73,640,16,Mar-36,40,10,0
117,Bill Ponsford,1924034,29,48,4,2122,266,48.23,0,0,0,0,0,0,21,0
118,Arthur Richardson,1924026,9,13,0,403,100,31,1812,91,521,12,Feb-20,43.42,1,0
119,Vic Richardson,1924036,19,30,0,706,138,23.53,0,0,0,0,0,0,24,0
120,Albert Hartkopf,1925,1,2,0,80,80,40,240,2,134,1,1/120,134,0,0
121,Clarrie Grimmett,1925036,37,50,10,557,50,13.93,14513,736,5231,216,Jul-40,24.22,17,0
122,Alan Kippax,1925034,22,34,1,1192,146,36.12,72,5,19,0,0,0,13,0
123,Bill Woodfull,1926034,35,54,4,2300,161,46,0,0,0,0,0,0,7,0
124,Don Bradman,1928048,52,80,10,6996,334,99.94,160,3,72,2,01-Aug,36,32,0
125,Bert Ironmonger,1928033,14,21,5,42,12,2.63,4695,328,1330,74,Jul-23,17.97,3,0
126,Don Blackie,1928029,3,6,3,24,11*,8,1260,51,444,14,Jun-94,31.71,2,0
127,Otto Nothling,1928,1,2,0,52,44,26,276,15,72,0,0,0,0,0
128,Ted a'Beckett,1929032,4,7,0,143,41,20.43,1062,47,317,3,Jan-41,105.67,4,0
129,Ron Oxenham,1929031,7,10,0,151,48,15.1,1802,112,522,14,Apr-39,37.29,4,0
130,Archie Jackson,1929031,8,11,1,474,164,47.4,0,0,0,0,0,0,7,0
131,Alan Fairfax,1929031,10,12,4,410,65,51.25,1520,54,645,21,Apr-31,30.71,15,0
132,Percy Hornibrook,1929030,6,7,1,60,26,10,1579,63,664,17,Jul-92,39.06,7,0
133,Tim Wall,1929034,18,24,5,121,20,6.37,4812,154,2010,56,May-14,35.89,11,0
134,Stan McCabe,1930038,39,62,5,2748,232,48.21,3746,127,1543,36,Apr-13,42.86,41,0
135,Alec Hurwood,1930031,2,2,0,5,5,2.5,517,28,170,11,Apr-22,15.45,2,0
136,Keith Rigg,1931037,8,12,0,401,127,33.42,0,0,0,0,0,0,5,0
137,Jack Nitschke,1931,2,2,0,53,47,26.5,0,0,0,0,0,0,3,0
138,Philip Lee,1931033,2,3,0,57,42,19,436,19,212,5,4/111,42.4,1,0
139,Bill Hunt,1932,1,1,0,0,,0,96,2,39,0,0,0,1,0
140,Bill O'Reilly,1932046,27,39,7,410,56*,12.81,10024,585,3254,144,Jul-54,22.6,7,0
141,Pud Thurlow,1932,1,1,0,0,,0,234,7,86,0,0,0,0,0
142,Jack Fingleton,1932038,18,29,1,1189,136,42.46,0,0,0,0,0,0,13,0
143,Laurie Nash,1932037,2,2,0,30,17,15,311,12,126,10,Apr-18,12.6,6,0
144,Lisle Nagel,1932,1,2,1,21,21*,21,262,9,110,2,2/110,55,0,0
145,Leo O'Brien,1933036,5,8,0,211,61,26.38,0,0,0,0,0,0,3,0
146,Ernest Bromley,1933034,2,4,0,38,26,9.5,60,4,19,0,0,0,2,0
147,Len Darling,1933037,12,18,1,474,85,27.88,162,7,65,0,0,0,8,0
148,Hammy Love,1933,1,2,0,8,5,4,0,0,0,0,0,0,3,0
149,Harry Alexander,1933,1,2,1,17,17*,17,276,3,154,1,1/129,154,0,0
150,Bill Brown,1934048,22,35,1,1592,206*,46.82,0,0,0,0,0,0,14,0
151,Arthur Chipperfield,1934038,14,20,3,552,109,32.47,924,28,437,5,Mar-91,87.4,15,0
152,Hans Ebeling,1934,1,2,0,43,41,21.5,186,9,89,3,Mar-74,29.67,0,0
153,Chuck Fleetwood-Smith,1935038,10,11,5,54,16*,9,3093,78,1570,42,6/110,37.38,0,0
154,Ernie McCormick,1935038,12,14,5,54,17*,6,2107,50,1079,36,4/101,29.97,8,0
155,Jack Badcock,1936038,7,12,1,160,118,14.55,0,0,0,0,0,0,3,0
156,Ray Robinson,1936,1,2,0,5,3,2.5,0,0,0,0,0,0,1,0
157,Morris Sievers,1936037,3,6,1,67,25*,13.4,602,25,161,9,May-21,17.89,4,0
158,Frank Ward,1936038,4,8,2,36,18,6,1268,30,574,11,6/102,52.18,1,0
159,Ross Gregory,1937,2,3,0,153,80,51,24,0,14,0,0,0,1,0
160,Ben Barnett,1938,4,8,1,195,57,27.86,0,0,0,0,0,0,3,2
161,Lindsay Hassett,1938053,43,69,3,3073,198*,46.56,111,2,78,0,0,0,30,0
162,Mervyn Waite,1938,2,3,0,11,8,3.67,552,23,190,1,1/150,190,1,0
163,Sid Barnes,1938048,13,19,2,1072,234,63.06,594,11,218,4,Feb-25,54.5,14,0
164,Ian Johnson,1946056,45,66,12,1000,77,18.52,8780,330,3182,109,Jul-44,29.19,30,0
165,Ray Lindwall,1946060,61,84,13,1502,118,21.15,13650,419,5251,228,Jul-38,23.03,26,0
166,Colin McCool,1946050,14,17,4,459,104*,35.31,2504,44,958,36,May-41,26.61,14,0
167,Ken Meuleman,1946,1,1,0,0,,0,0,0,0,0,0,0,1,0
168,Keith Miller,1946056,55,87,7,2958,147,36.98,10461,337,3906,170,Jul-60,22.98,38,0
169,Don Tallon,1946053,21,26,3,394,92,17.13,0,0,0,0,0,0,50,8
170,Ernie Toshack,1946048,12,11,6,73,20*,14.6,3140,155,989,47,Jun-29,21.04,4,0
171,Arthur Morris,1946055,46,79,3,3533,206,46.49,111,1,50,2,01-May,25,15,0
172,George Tribe,1946047,3,3,1,35,25*,17.5,760,9,330,2,Feb-48,165,0,0
173,Fred Freer,1946,1,1,1,28,28*,0,160,3,74,3,Feb-49,24.67,0,0
174,Bruce Dooland,1947048,3,5,1,76,29,19,880,9,419,9,Apr-69,46.56,3,0
175,Merv Harvey,1947,1,2,0,43,31,21.5,0,0,0,0,0,0,0,0
176,Ron Hamence,1947048,3,4,1,81,30*,27,0,0,0,0,0,0,1,0
177,Bill Johnston,1947055,40,49,25,273,29,11.38,11048,372,3826,160,Jun-44,23.91,16,0
178,Neil Harvey,1948063,79,137,10,6149,205,48.42,414,23,120,3,01-Aug,40,64,0
179,Len Johnson,1948,1,1,1,25,25*,0,282,10,74,6,03-Aug,12.33,2,0
180,Sam Loxton,1948051,12,15,0,554,101,36.93,906,20,349,8,Mar-55,43.63,7,0
181,Doug Ring,1948053,13,21,2,426,67,22.42,3024,69,1305,35,Jun-72,37.29,5,0
182,Ron Saggers,1948050,6,5,2,30,14,10,0,0,0,0,0,0,16,8
183,Jack Moroney,1949052,7,12,1,383,118,34.82,0,0,0,0,0,0,0,0
184,Geff Noblet,1950053,3,4,1,22,13*,7.33,774,25,183,7,Mar-21,26.14,1,0
185,Jack Iverson,1950051,5,7,3,3,1*,0.75,1108,29,320,21,Jun-27,15.24,2,0
186,Ken Archer,1950051,5,9,0,234,48,26,0,0,0,0,0,0,0,0
187,Jim Burke,1951059,24,44,7,1280,189,34.59,814,41,230,8,Apr-37,28.75,18,0
188,Graeme Hole,1951055,18,33,2,789,66,25.45,398,14,126,3,01-Sep,42,21,0
189,Gil Langley,1951056,26,37,12,374,53,14.96,0,0,0,0,0,0,83,15
190,Richie Benaud,1952064,63,97,7,2201,122,24.46,19108,805,6704,248,Jul-72,27.03,65,0
191,Colin McDonald,1952061,47,83,4,3107,170,39.33,8,0,3,0,0,0,14,0
192,George Thoms,1952,1,2,0,44,28,22,0,0,0,0,0,0,0,0
193,Ron Archer,1953056,19,30,1,713,128,24.59,3576,160,1318,48,May-53,27.46,20,0
194,Ian Craig,1953058,11,18,0,358,53,19.89,0,0,0,0,0,0,2,0
195,Alan Davidson,1953063,44,61,7,1328,80,24.59,11587,431,3819,186,Jul-93,20.53,42,0
196,Jack Hill,1953055,3,6,3,21,8*,7,606,29,273,8,Mar-35,34.13,2,0
197,Jim de Courcy,1953,3,6,1,81,41,16.2,0,0,0,0,0,0,3,0
198,Les Favell,1954061,19,31,3,757,101,27.04,0,0,0,0,0,0,9,0
199,Len Maddocks,1955056,7,12,2,177,69,17.7,0,0,0,0,0,0,18,1
200,Peter Burge,1955066,42,68,8,2290,181,38.17,0,0,0,0,0,0,23,0
201,Bill Watson,1955,4,7,1,106,30,17.67,6,0,5,0,0,0,2,0
202,Pat Crawford,1956,4,5,2,53,34,17.67,437,27,107,7,Mar-28,15.29,1,0
203,Ken Mackay,1956063,37,52,7,1507,89,33.49,5792,267,1721,50,Jun-42,34.42,16,0
204,Jack Rutherford,1956,1,1,0,30,30,30,36,2,15,1,01-Nov,15,0,0
205,Jack Wilson,1956,1,0,0,0,,0,216,17,64,1,Jan-25,64,0,0
206,Wally Grout,1957066,51,67,8,890,74,15.08,0,0,0,0,0,0,163,24
207,Lindsay Kline,1957061,13,16,9,58,15*,8.29,2373,113,776,34,Jul-75,22.82,9,0
208,Ian Meckiff,1957063,18,20,7,154,45*,11.85,3734,120,1423,45,Jun-38,31.62,9,0
209,Bob Simpson,1957078,62,111,7,4869,311,46.82,6881,253,3001,71,May-57,42.27,110,0
210,Ron Gaunt,1958064,3,4,2,6,3,3,716,14,310,7,Mar-53,44.29,1,0
211,Norm O'Neill,1958065,42,69,8,2779,181,45.56,1392,48,667,17,Apr-41,39.24,21,0
212,Keith Slater,1959,1,1,1,1,1*,0,256,9,101,2,Feb-40,50.5,0,0
213,Gordon Rorke,1959,4,4,2,9,7,4.5,703,26,203,10,Mar-23,20.3,1,0
214,Gavin Stevens,1959060,4,7,0,112,28,16,0,0,0,0,0,0,2,0
215,Barry Jarman,1959069,19,30,3,400,78,14.81,0,0,0,0,0,0,50,4
216,Johnny Martin,1961067,8,13,1,214,55,17.83,1846,57,832,17,Mar-56,48.94,5,0
217,Frank Misson,1961,5,5,3,38,25*,19,1197,30,616,16,Apr-58,38.5,6,0
218,Des Hoare,1961,1,2,0,35,35,17.5,232,0,156,2,Feb-68,78,2,0
219,Bill Lawry,1961071,67,123,12,5234,210,47.15,14,1,6,0,0,0,30,0
220,Graham McKenzie,1961071,60,89,12,945,76,12.27,17681,547,7328,246,Aug-71,29.79,34,0
221,Brian Booth,1961066,29,48,6,1773,169,42.21,436,27,146,3,Feb-33,48.67,17,0
222,Colin Guest,1963,1,1,0,11,11,11,144,0,59,0,0,0,0,0
223,Barry Shepherd,1963065,9,14,2,502,96,41.83,26,1,9,0,0,0,2,0
224,Neil Hawke,1963068,27,37,15,365,45*,16.59,6974,238,2677,91,7/105,29.42,9,0
225,Alan Connolly,1963071,29,45,20,260,37,10.4,7818,289,2981,102,Jun-47,29.23,17,0
226,Tom Veivers,1963067,21,30,4,813,88,31.27,4191,195,1375,33,Apr-68,41.67,7,0
