Cap,Name,First,Last,Mat,Runs,HS,Avg,Balls,Wkt,BBI,Ave,Ca,St
1,Paul Collingwood double-dagger,2005,2011,35,583,79,18.8,222,16,Apr-22,20.56,14,0
2,Andrew Flintoff,2005,2007,7,76,31,12.66,150,5,Feb-23,32.2,5,0
3,Darren Gough,2005,2006,2,0,0,0,41,3,Mar-16,16.33,0,0
4,Steve Harmison,2005,2006,2,0,0,0,39,1,Jan-13,42,1,0
5,Geraint Jones dagger,2005,2006,2,33,19,33,0,0,0,0,2,0
6,Jon Lewis,2005,2007,2,1,1,1,42,4,Apr-24,13.75,1,0
7,Kevin Pietersen,2005,2013,37,1176,79,37.93,30,1,Jan-27,53,14,0
8,Vikram Solanki dagger,2005,2007,3,76,43,25.33,0,0,0,0,3,0
9,Andrew Strauss double-dagger,2005,2009,4,73,33,18.25,0,0,0,0,1,0
10,Marcus Trescothick,2005,2006,3,166,72,55.33,0,0,0,0,2,0
11,Michael Vaughan double-dagger,2005,2007,2,27,27,13.5,0,0,0,0,0,0
12,Tim Bresnan,2006,2014,34,216,47*,16.61,663,24,03-Oct,36.95,10,0
13,Jamie Dalrymple,2006,2007,3,60,32,20,30,2,01-Oct,19.5,1,0
14,Ed Joyce,2006,2007,2,1,1,1,0,0,0,0,0,0
15,Sajid Mahmood,2006,2009,4,1,1*,0,84,3,Jan-31,51.66,1,0
16,Liam Plunkett,2006,2018,19,35,18,5,423,22,Mar-21,25.04,6,0
17,Ian Bell,2006,2014,8,188,60*,26.85,0,0,0,0,4,0
18,Stuart Broad double-dagger,2006,2014,56,118,18*,7.37,1173,65,Apr-24,22.93,21,0
19,Chris Read dagger,2006,2006,1,13,13,13,0,0,0,0,1,0
20,Michael Yardy,2006,2011,14,96,35*,32,276,11,Feb-19,27.18,8,0
21,James Anderson,2007,2009,19,1,1*,1,422,18,Mar-23,30.66,3,0
22,Paul Nixon dagger,2007,2007,1,31,31*,0,0,0,0,0,0,1
23,Monty Panesar,2007,2007,1,1,1,1,24,2,Feb-40,20,0,0
24,Alastair Cook double-dagger,2007,2010,4,61,26,15.25,0,0,0,0,1,0
25,Dimitri Mascarenhas,2007,2009,14,123,31,15.37,252,12,Mar-18,25.75,7,0
26,Matt Prior dagger,2007,2010,10,127,32,21.16,0,0,0,0,6,3
27,Owais Shah,2007,2009,17,347,55*,24.78,0,0,0,0,5,0
28,Ryan Sidebottom,2007,2010,16,5,5*,0,325,21,Mar-16,18.23,5,0
29,Jonathan Trott,2007,2010,7,139,51,23,0,0,0,0,0,0
30,Darren Maddy,2007,2007,4,113,50,28.25,18,3,02-Jun,8.66,1,0
31,Chris Schofield,2007,2007,4,24,9*,24,77,4,Feb-15,23,1,0
32,Luke Wright,2007,2014,51,759,99*,18.97,330,18,Feb-24,25.83,14,0
33,James Kirtley,2007,2007,1,2,2*,0,6,0,0,0,0,0
34,Jeremy Snape,2007,2007,1,7,7,7,6,0,0,0,1,0
35,Chris Tremlett,2007,2007,1,0,0,0,24,2,Feb-45,22.5,0,0
36,Phil Mustard dagger,2008,2008,2,60,40,30,0,0,0,0,0,0
37,Graeme Swann double-dagger,2008,2012,39,104,34,20.8,810,51,Mar-13,16.84,5,0
38,Tim Ambrose dagger,2008,2008,1,0,0,0,0,0,0,0,1,1
39,Ravi Bopara,2008,2014,38,711,65*,28.44,322,16,04-Oct,24.18,7,0
40,Gareth Batty,2009,2009,1,4,4,4,18,0,0,0,0,0
41,Steven Davies dagger,2009,2011,5,102,33,20.4,0,0,0,0,2,1
42,Amjad Khan,2009,2009,1,2,2,2,24,2,Feb-34,17,0,0
43,James Foster dagger,2009,2009,5,37,14*,12.33,0,0,0,0,3,3
44,Robert Key,2009,2009,1,10,10*,0,0,0,0,0,1,0
45,Eoin Morgan double-dagger,2009,2018,76,1723,85*,28.71,0,0,0,0,34,0
46,Adil Rashid,2009,2018,32,42,9*,8.4,630,28,Mar-25,28.82,9,0
47,Joe Denly,2009,2010,5,20,14,4,6,1,01-Sep,9,1,0
48,Ajmal Shahzad,2010,2011,3,0,0*,0,66,3,Feb-38,32.33,1,0
49,Craig Kieswetter dagger,2010,2012,25,526,63,21.91,0,0,0,0,17,3
50,Michael Lumb,2010,2014,27,552,63,21.23,0,0,0,0,8,0
51,Chris Woakes,2011,2015,8,91,37,30.33,162,7,Feb-40,36.14,1,0
52,Jade Dernbach,2011,2014,34,24,12,4.8,702,39,Apr-22,26.15,8,0
53,Samit Patel,2011,2013,18,189,67,15.75,252,7,02-Jun,45.85,3,0
57,Steven Finn,2011,2015,21,14,8*,0,480,27,Mar-16,21.59,6,0
59,Scott Borthwick,2011,2011,1,14,14,14,24,1,Jan-15,15,1,0
60,Danny Briggs,2012,2014,7,0,0*,0,108,5,Feb-25,39.8,1,0
61,Stuart Meaker,2012,2012,2,0,0,0,47,2,Jan-28,35,1,0
62,James Tredwell double-dagger,2012,2014,17,32,22,10.66,317,7,Jan-16,59.42,2,0
64,Boyd Rankin,2013,2013,2,0,0,0,24,1,Jan-24,24,0,0
67,Stephen Parry,2014,2015,5,1,1,1,96,3,Feb-33,46,2,0
68,Michael Carberry,2014,2014,1,7,7,7,0,0,0,0,1,0
69,Harry Gurney,2014,2014,2,0,0,0,48,3,Feb-26,18.33,0,0
74,Reece Topley,2015,2016,6,1,1*,0,103,5,Mar-24,34.6,1,0
77,Tymal Mills,2016,2017,4,0,0,0,96,3,Jan-27,39,1,0
78,Mason Crane,2017,2017,2,0,0,0,48,1,Jan-38,62,0,0
80,Liam Livingstone,2017,2017,2,16,16,8,0,0,0,0,0,0
